trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,15,-3.027549295867737,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,13,-5.75622001674242,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,3,-94.60175761023663,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,6,-3.379806995004392,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-62.19290348246802,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.631283645506926}",25,0,-178.81074284569942,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,0,-138.69312738022572,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,15,-13.893738219706687,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,0,-144.05216040344268,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,10,-22.97646867807073,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,10,6.129223788474016,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,11,-3.903330758207619,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",25,5,-35.98901080228977,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,1,-35.991191341388166,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",30,0,-83.05545399308961,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-56.527168720806095,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,4,-50.34859820388473,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.559898366565402}",20,11,7.884836049928001,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-83.72270148929968,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
