trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
177,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,9,3.7522521573279892,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.17033298882540945}",25,8,12.6641549569472,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16863814726859552}",20,15,9.185559098219183,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16696016966704072}",30,15,0.7978474772556385,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16529888822158656}",25,18,1.1141744316412687,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16365413680270408}",20,11,-15.998991008200926,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16202575093388077}",25,12,3.1413300622476665,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.16041356777517277}",20,13,-27.106955521069423,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
185,False,"{'a': 0.5, 'e': 0.1588174261069207}",35,17,34.89486074703972,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.1572371663136276}",20,9,18.130270583510544,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1556726303679973}",30,1,30.71509468089278,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.15412366181513143}",20,8,1.704024589168567,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.15259010575688386}",20,0,16.535234815043594,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.15107180883637084}",20,0,8.303159023522845,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
191,False,"{'a': 0.5, 'e': 0.14956861922263506}",30,18,5.251994677445002,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14808038659546244}",20,0,-20.04267445838917,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
193,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,15,-45.64604772608673,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
194,False,"{'a': 0.5, 'e': 0.14514819848362376}",30,22,14.937385281087206,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.14370394977770296}",25,15,12.456306458471794,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.1422740715865136}",25,11,11.344490146761435,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.140858420921045}",25,15,10.189723571158753,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13945685621505094}",25,3,26.877696018450976,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13806923731089282}",20,16,7.865634888754645,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.13669542544552388}",20,12,-33.55652089593996,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
201,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,8,46.46580883114983,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13398867466880496}",25,11,22.10074461164394,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.13265546508012174}",20,12,15.992724591981563,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.13133552114849306}",25,11,-28.569184510948084,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
205,False,"{'a': 0.5, 'e': 0.13002871087842593}",25,17,5.280900181857427,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12873490358780426}",25,17,16.694428772934053,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12745396989482075}",20,9,19.804592035497954,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12618578170503877}",35,21,21.502426566265605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12493021219858243}",35,9,-47.429576936473794,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",20,11,18.098989739061015,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,11,20.220523133194533,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,8,23.697496942726183,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,13,24.289512688745635,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,15,11.308530850651813,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,4,27.304277675550125,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,20.6408218692946,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,25,18.418367836606294,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,12,20.293580706264297,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,24.148050378326612,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
